Referral Source,Time,Total Referred Patients,Month
"Poston, Jason",2016,2,All
"Radford, Carmen",2016,2,All
"Richardson, Nathan",2016,2,All
"Rosemark Women, Care",2016,2,All
"Ruiz-Gruwell, Anna",2016,2,All
"Searle, Kathleen",2016,2,All
"Turpin, Lance",2016,2,All
"Vincent, Stephen",2016,2,All
"Walker, Eric",2016,2,All
"Administration, Veterans",2016,1,All
"Allred, Deanna",2016,1,All
"Andersen, Bryce",2016,1,All
"Bailey, Robert",2016,1,All
"Baker, Family Practice",2016,1,All
"Baker, Wallace",2016,1,All
"Baron, Kathleen",2016,1,All
"Beck, Ruth",2016,1,All
"Belnap, Kylee",2016,1,All
"Bench, Thomas",2016,1,All
"Bisson, Erica",2016,1,All
"Black, Timothy",2016,1,All
"Blackner, Kenneth",2016,1,All
"Brook, James",2016,1,All
"Brown, Bradly",2016,1,All
"Bruggeman, Brian",2016,1,All
"Buhari, Shiraz",2016,1,All
"Burks, Robert",2016,1,All
"Buys, David",2016,1,All
"Castellanos, Peter",2016,1,All
"Clifford, Kyle",2016,1,All
"Community Care, Rexburg LLC",2016,1,All
"Coughenour, Tiffany",2016,1,All
"Cushman, Daniel",2016,1,All
"Davis, Shelley",2016,1,All
"De Bruyn Kops, Julian",2016,1,All
"English, Joy Lynn",2016,1,All
"Esplin, Vermon",2016,1,All
"Family First, Medical Center PLLC",2016,1,All
"Fowler, Cody",2016,1,All
"Freeman, Mark",2016,1,All
"Gililland, Jeremy",2016,1,All
"Gochnour, Brett",2016,1,All
"Gorman, Patrick",2016,1,All
"Greenwald, Brent",2016,1,All
"Greis, Patrick",2016,1,All
"Hannah, Kimberly",2016,1,All
"Hansen, Joshua",2016,1,All
"Hansen, Stephen",2016,1,All
"Hanson, Beverly",2016,1,All
"Hatch, Bradford",2016,1,All
"Health and Wellness, Center of Idaho PLLC",2016,1,All
"Hodges, Gene",2016,1,All
"Huntsman, Elliot",2016,1,All
"Idaho Falls, Clinic",2016,1,All
"Idaho Falls, Pediatrics",2016,1,All
"James, Michael",2016,1,All
"Jost, Heidi",2016,1,All
"Josten, Karie",2016,1,All
"Kelly, Brandon",2016,1,All
"Kenney, Helen",2016,1,All
"Khoury, David",2016,1,All
"Kirshner, Allison",2016,1,All
"Kovac, Kylin",2016,1,All
"Lassetter, John",2016,1,All
"Lawrence, Brandon",2016,1,All
"Lee, Richard",2016,1,All
"Lee, Robert",2016,1,All
"Lehman, Timothy",2016,1,All
"Leverett, Margaret",2016,1,All
"Lowther, Kenneth",2016,1,All
"Machen, Shane",2016,1,All
"Madison Memorial, Rexburg Medical Clinic",2016,1,All
"Maltry, John",2016,1,All
"Marano, Stephen",2016,1,All
"Masse, Amber",2016,1,All
"Mayo, Keith",2016,1,All
"McCowin, Philip",2016,1,All
"McLaughlin, Daniel",2016,1,All
"Mitchell, Lorena",2016,1,All
"Murken, Roger",2016,1,All
"Oldroyd, J Michael",2016,1,All
"Olsen, Blaine",2016,1,All
"Packer, Michael",2016,1,All
"Pankau, Michael",2016,1,All
"Pearson, Nicholas",2016,1,All
"Petersen, Lance",2016,1,All
"Poulter, A Jake",2016,1,All
"Quinton, Tony",2016,1,All
"Rencher, Mark",2016,1,All
"Rozack, Jonathan",2016,1,All
"Shapiro, Steven",2016,1,All
"Shelley Family, Medical Center",2016,1,All
"Shelley, David",2016,1,All
"Showalter, Larry",2016,1,All
"Simpson, Isac",2016,1,All
"Southeast Idaho, Family Practice",2016,1,All
"Steorts, Mitchael",2016,1,All
"Tabor, Laura",2016,1,All
"Taylor, Scott",2016,1,All
"Thurman, Zabrina",2016,1,All
"Vance, Carol",2016,1,All
"Verst, David",2016,1,All
"Voyadzis, Jean-Marc",2016,1,All
"Wallin, Heike",2016,1,All
"Waters, Cristy",2016,1,All
"Weiszhaar, Travis",2016,1,All
"Westergard, Rebecca",2016,1,All
"Whiting, Joel",2016,1,All
"Wilde, Trevor",2016,1,All
"Williams III, Riley",2016,1,All
"Wilson, William",2016,1,All
"Zobell, Anna",2016,1,All
"Zoe, Holly",2016,1,All
"Zollinger, Jeffery",2016,1,All
"Zorn, Meghan",2016,1,All
OtherSources,2016,468,All
Totals,2016,566,All
